id,title,description,observation,image_path,created_at,updated_at
228,chumbador de 1/4 x2,,,,2015-10-02T14:32:15.240+00:00,2015-10-02T14:32:15.240+00:00
230,correia b-57,,,,2015-10-02T14:34:13.978+00:00,2015-10-02T14:34:13.978+00:00
231,correia b-42,,,,2015-10-02T14:34:13.996+00:00,2015-10-02T14:34:13.996+00:00
235,radio comunicador motorola,,,,2015-10-02T14:43:33.735+00:00,2015-10-02T14:43:33.735+00:00
236,mangueira de dreno pvc 1/4,,,,2015-10-02T14:45:25.920+00:00,2015-10-02T14:45:25.920+00:00
240,sensor temp serpentina space,,,,2015-10-02T14:53:45.481+00:00,2015-10-02T14:53:45.481+00:00
241,sensor temp do tubo,,,,2015-10-02T14:53:45.492+00:00,2015-10-02T14:53:45.492+00:00
243,araldite ,,,,2015-10-02T14:57:49.752+00:00,2015-10-02T14:57:49.752+00:00
244,"serra manual 12""",,,,2015-10-02T14:57:49.768+00:00,2015-10-02T14:57:49.768+00:00
245,trincha 4'',,,,2015-10-02T14:57:49.784+00:00,2015-10-02T14:57:49.784+00:00
246,trincha 2'',,,,2015-10-02T14:57:49.797+00:00,2015-10-02T14:57:49.797+00:00
247,parafuso auto atarrachante 3.9x32,,,,2015-10-02T14:57:49.811+00:00,2015-10-02T14:57:49.811+00:00
248,rebitador manual,,,,2015-10-02T14:57:49.836+00:00,2015-10-02T14:57:49.836+00:00
249,rebite 4.8x16,,,,2015-10-02T14:57:49.864+00:00,2015-10-02T14:57:49.864+00:00
215,grelha 325x425mm,,,,2015-10-02T14:15:18.888+00:00,2015-10-02T14:15:18.888+00:00
217,isolamento 1/4,,,,2015-10-02T14:19:50.248+00:00,2015-10-02T14:19:50.248+00:00
218,isolamento 5/8,,,,2015-10-02T14:19:50.268+00:00,2015-10-02T14:19:50.268+00:00
219,bomba de dreno mini elgin,,,,2015-10-02T14:20:06.404+00:00,2015-10-02T14:20:06.404+00:00
223,correia a33,,,,2015-10-02T14:24:53.112+00:00,2015-10-02T14:24:53.112+00:00
224,correia a34,,,,2015-10-02T14:24:53.132+00:00,2015-10-02T14:24:53.132+00:00
225,conserto de motor ventilador 1/7 cv,,,,2015-10-02T14:25:14.978+00:00,2015-10-02T14:25:14.978+00:00
229,arruela lisa 1/4,,,,2015-10-02T14:33:17.901+00:00,2015-10-02T14:33:17.901+00:00
232,correia b-46,,,,2015-10-02T14:37:34.139+00:00,2015-10-02T14:37:34.139+00:00
233,correia b-31,,,,2015-10-02T14:37:34.157+00:00,2015-10-02T14:37:34.157+00:00
234,registro gaveta 3/4,,,,2015-10-02T14:40:56.608+00:00,2015-10-02T14:40:56.608+00:00
237,bateria de 9v,,,,2015-10-02T14:51:49.366+00:00,2015-10-02T14:51:49.366+00:00
238,suporte vanel horizontal,,,,2015-10-02T14:51:50.256+00:00,2015-10-02T14:51:50.256+00:00
239,helice plastica 5 pas,,,,2015-10-02T14:51:50.278+00:00,2015-10-02T14:51:50.278+00:00
242,termostato vent cond tvc pii 02 2e 220v,,,,2015-10-02T14:55:46.825+00:00,2015-10-02T14:55:46.825+00:00
250,ponteira para-choque traseira esquerdo,,,,2015-10-02T15:12:44.852+00:00,2015-10-02T15:12:44.852+00:00
251,tampa tanque,,,,2015-10-02T15:12:44.885+00:00,2015-10-02T15:12:44.885+00:00
